species,dd_long,dd_lat
Actinor_radians,72.07099,35.99492
Actinor_radians,71.99009,35.15735
Actinor_radians,73.39397,34.45065
Aeromachus_stigmatus,73.16466,33.82338
Aeromachus_stigmatus,73.16823,34.13390
Aeromachus_stigmatus,73.41688,34.00422
Aeromachus_stigmatus,73.64769,33.84480
Aeromachus_stigmatus,73.83329,33.96139
Aeromachus_stigmatus,73.34217,34.58814
Aeromachus_stigmatus,73.62342,34.56244
Aeromachus_stigmatus,73.51920,34.42539
Aeromachus_stigmatus,73.52206,34.28405
Borbo_bevani,67.06133,25.08911
Borbo_bevani,67.05657,24.93207
Borbo_bevani,71.56042,30.32547
Borbo_bevani,74.17066,31.47667
Borbo_bevani,73.18189,33.59584
Borbo_bevani,73.21187,33.74718
Borbo_bevani,73.00200,33.76288
Borbo_bevani,73.06054,33.95705
Borbo_bevani,72.74502,33.80571
Borbo_bevani,73.51720,33.87311
Borbo_bevani,73.38038,34.04087
Borbo_bevani,73.54457,34.20267
Borbo_bevani,73.17099,34.18958
Borbo_bevani,73.23791,34.31718
Borbo_bevani,73.11757,34.45876
Borbo_bevani,73.22512,34.57297
Borbo_bevani,73.55292,34.69956
Borbo_cinarra,71.51967,34.11905
Borbo_cinarra,73.13295,33.77640
Borbo_cinarra,73.31236,34.53480
Borbo_cinarra,73.50033,33.92090
Borbo_cinarra,74.09132,31.38813
Eogenes_alcides,74.75124,36.35748
Eogenes_alcides,74.37342,35.74328
Eogenes_alcides,72.23640,36.26362
Eogenes_alcides,72.17390,36.04225
Eogenes_alcides,73.27397,33.73857
Eogenes_alcides,67.59548,30.57469
Eogenes_alcides,67.35261,30.53505
Eogenes_alcides,67.03588,30.38964
Eogenes_lesliei,74.67456,36.22336
Eogenes_lesliei,74.31978,35.76865
Eogenes_lesliei,73.92203,35.28466
Eogenes_lesliei,71.95445,36.04240
Eogenes_lesliei,72.21381,35.80018
Eogenes_lesliei,71.90686,35.76877
Eogenes_lesliei,71.92583,35.21323
Eogenes_lesliei,71.88491,35.06380
Eogenes_lesliei,72.50928,33.72964
Eogenes_lesliei,66.98130,30.07177
Gegenes_nostrodamus,74.75619,35.27489
Gegenes_nostrodamus,74.25131,35.28893
Gegenes_nostrodamus,72.38800,35.94713
Gegenes_nostrodamus,71.90671,35.83228
Gegenes_nostrodamus,72.02838,35.21013
Gegenes_nostrodamus,71.88014,34.80043
Gegenes_nostrodamus,71.90288,34.46425
Gegenes_nostrodamus,73.43660,33.89194
Gegenes_nostrodamus,73.09218,34.16677
Gegenes_nostrodamus,72.90301,33.97403
Gegenes_nostrodamus,73.09396,33.89551
Gegenes_nostrodamus,72.61379,33.70444
Gegenes_nostrodamus,72.81188,33.69195
Gegenes_nostrodamus,74.17204,31.62093
Gegenes_nostrodamus,73.99001,31.47994
Gegenes_nostrodamus,66.75859,30.43480
Gegenes_nostrodamus,66.72290,30.06361
Gegenes_nostrodamus,67.00843,24.94896
Gegenes_nostrodamus,73.06086,33.49902
Gegenes_pumilio,71.18343,34.20680
Gegenes_pumilio,71.91700,35.07218
Gegenes_pumilio,71.94486,35.94606
Gegenes_pumilio,73.32646,34.57283
Gegenes_pumilio,73.22747,34.38437
Gegenes_pumilio,73.43687,34.38628
Gegenes_pumilio,73.55298,33.98462
Gegenes_pumilio,73.11730,33.71003
Gegenes_pumilio,73.12682,33.88493
Gegenes_pumilio,72.94622,33.86470
Gegenes_pumilio,72.79037,33.73740
Gegenes_pumilio,72.55111,33.66364
Gegenes_pumilio,66.69256,29.99847
Hesperia_comma,75.32755,36.74335
Hesperia_comma,75.32743,36.85310
Hesperia_comma,74.77131,36.85435
Hesperia_comma,76.43393,35.66230
Hesperia_comma,76.52596,34.96202
Hesperia_comma,75.53771,35.28741
Hesperia_comma,75.27997,35.11225
Hesperia_comma,74.70406,35.17896
Hesperia_comma,74.57119,34.96186
Hesperia_comma,74.47055,34.94323
Hesperia_comma,74.68907,36.18333
Hesperia_comma,74.48537,36.13717
Hesperia_comma,74.15306,35.97895
Hesperia_comma,74.07624,35.97875
Hesperia_comma,73.47283,36.79286
Hesperia_comma,73.35945,36.43836
Hesperia_comma,72.77570,36.37454
Hesperia_comma,72.26107,36.52169
Hesperia_comma,71.93919,36.20834
Hesperia_comma,72.53192,36.15321
Hesperia_comma,72.36796,36.07611
Hesperia_comma,72.04452,35.96175
Hesperia_comma,71.89935,35.61749
Hesperia_comma,72.50234,36.07908
Notocrypta_feisthamelii,73.47282,33.86561
Parnara_bada,73.19185,33.79963
Parnara_bada,72.93011,33.50100
Parnara_ganga,73.23605,34.10995
Parnara_ganga,73.19024,33.98280
Parnara_ganga,73.40796,33.95068
Parnara_ganga,73.54538,33.71333
Parnara_guttata,74.14283,31.42199
Parnara_guttata,73.62691,32.90236
Parnara_guttata,73.85489,33.87996
Parnara_guttata,73.74079,33.96276
Parnara_guttata,73.70475,33.79182
Parnara_guttata,73.54898,33.82038
Parnara_guttata,73.55945,33.96029
Parnara_guttata,73.53756,34.11448
Parnara_guttata,73.03709,33.46695
Parnara_guttata,73.20365,33.68467
Parnara_guttata,72.98367,33.69122
Parnara_guttata,73.02841,33.82447
Parnara_guttata,72.84745,33.84184
Parnara_guttata,73.46352,34.39046
Parnara_guttata,73.44068,34.63460
Parnara_guttata,73.05806,34.52752
Parnara_guttata,73.10518,34.41587
Parnara_guttata,73.23557,34.50058
Parnara_guttata,73.24033,34.29024
Parnara_guttata,74.65030,35.15222
Parnara_guttata,74.32970,33.30913
Parnara_guttata,71.72930,33.54733
Parnara_guttata,71.23612,34.05919
Parnara_guttata,71.43742,34.26977
Parnara_guttata,72.49874,34.79832
Parnara_guttata,72.67635,36.10700
Parnara_guttata,71.91986,35.90296
Parnara_guttata,71.92218,35.62826
Parnara_guttata,71.93063,35.19662
Pelopidas_agna,73.25485,33.67433
Pelopidas_agna,73.58798,33.86231
Pelopidas_mathias,72.03768,35.88424
Pelopidas_mathias,73.63509,33.71050
Pelopidas_mathias,73.16051,33.68837
Pelopidas_mathias,73.20353,33.45423
Pelopidas_mathias,72.83443,33.60747
Pelopidas_mathias,72.64883,33.58368
Pelopidas_mathias,72.25959,32.58227
Pelopidas_mathias,74.15697,31.48970
Pelopidas_mathias,70.33595,33.73291
Pelopidas_mathias,70.73555,31.61711
